KEY	KO
ui.pause.passiveHeader	패시브
ui.result.other	기타
ui.result.earned	획득 정수: {0}
ui.result.total	총 피해량: {0}
unlock.essence	정수 {0} / {1}
unlock.clearMap	{0} 승천{1} 클리어
ui.levelup.header	레벨 업!
ui.title.play	플레이
ui.title.upgrade	업그레이드
ui.title.collection	컬렉션
ui.title.quit	종료
ui.tree.title	스킬 트리
ui.charselect.title	캐릭터 선택
ui.mapselect.changeChar	캐릭터 변경
ui.common.close	닫기
ui.common.back	뒤로
ui.common.select	선택
ui.result.toTitle	타이틀로
ui.treasure.header	보물 획득!
ui.treasure.continue	클릭하여 계속
ui.collection.title	컬렉션
ui.collection.progress	발견 {0} / {1}
ui.collection.active	액티브
ui.collection.passive	패시브
ui.collection.unknown	???
ui.collection.hint	아직 만나지 못한 스킬입니다
ui.collection.route	루트 {0}
ui.collection.prereq	연계 {0}
ui.collection.notFound	아직 이 진화를 본 적이 없다
