KEY	ZH
evo.name.Homing.0.1	重型弹头
evo.active.desc.Homing.0.2	向最强的敌人发射一枚巨型火箭，引发猛烈爆炸。
evo.name.Homing.0.2	超强力超级火箭
evo.active.desc.Homing.1.1	发射大量迷你导弹。
evo.name.Homing.1.1	迷你导弹群
evo.active.desc.Homing.1.2	用数不清的导弹覆盖整个世界。
evo.name.Homing.1.2	如天上繁星
skill.name.Shotgun	霰弹射击
skill.desc.Shotgun	向前方呈扇形散射霰弹。
evo.active.desc.Shotgun.0.1	施加增益，使所有攻击获得额外攻击次数。
evo.name.Shotgun.0.1	附加弹药装填
evo.active.desc.Shotgun.0.2	不再攻击，改为施加超强的攻击次数增益。
evo.name.Shotgun.0.2	听我指挥！
evo.active.desc.Shotgun.1.1	向前方连续多次射击。
evo.name.Shotgun.1.1	机甲破坏者
evo.active.desc.Shotgun.1.2	消灭前方所有敌人。必定暴击。
evo.name.Shotgun.1.2	超强力歼灭齐射
skill.name.Rewind	回溯
skill.desc.Rewind	使其他所有技能的冷却时间提前1秒。
evo.active.desc.Rewind.0.1	回溯后的下一次攻击得到强化。
evo.name.Rewind.0.1	充能回溯
evo.active.desc.Rewind.0.2	回溯后使用的攻击冷却时间翻倍，但威力变得极其强大。
evo.name.Rewind.0.2	过载
evo.active.desc.Rewind.1.1	回溯效果增强，公共冷却减半。
evo.name.Rewind.1.1	加速回溯
evo.active.desc.Rewind.1.2	所有技能冷却时间缩短，公共冷却消失。
evo.name.Rewind.1.2	蓝莓灭绝时刻
skill.name.Swing	挥击
skill.desc.Swing	挥动锤子，对范围内所有敌人造成伤害并击退。
evo.active.desc.Swing.0.1	攻击范围进一步扩大，并从敌人身上吸取生命。
evo.name.Swing.0.1	横扫
evo.active.desc.Swing.0.2	被击中的敌人会长时间眩晕。
evo.name.Swing.0.2	皇家圣骑士之锤
evo.active.desc.Swing.1.1	砸下的冲击沿着地面扩散。
evo.name.Swing.1.1	地震波
evo.active.desc.Swing.1.2	地震波变大，被击中的敌人受到的伤害增加。
evo.name.Swing.1.2	巨浪
skill.name.GrapeToss	毒葡萄
skill.desc.GrapeToss	投掷毒葡萄。爆开处会弥漫毒雾，使敌人中毒。
evo.active.desc.GrapeToss.0.1	毒雾范围更广，毒性更强。
evo.name.GrapeToss.0.1	生化葡萄
evo.active.desc.GrapeToss.0.2	中毒倒下的敌人会将毒传给周围的敌人。
evo.name.GrapeToss.0.2	灾厄瘟疫
evo.active.desc.GrapeToss.1.1	一次投掷更多葡萄，进入毒雾的敌人会短暂眩晕。
evo.name.GrapeToss.1.1	电麻葡萄
evo.active.desc.GrapeToss.1.2	中毒的敌人会周期性眩晕，且受到的伤害增加。
evo.name.GrapeToss.1.2	美杜莎的零食
passive.name.Strength	力量
evo.passive.desc.Strength.0.1	暴击伤害提高。
evo.name.Strength.0.1	燃烧肌肉
evo.passive.desc.Strength.1.1	Q技能变得更强。
evo.name.Strength.1.1	日常肌肉
passive.name.Health	体魄
evo.passive.desc.Health.0.1	最大生命值增长得更快。
evo.name.Health.0.1	强健
evo.passive.desc.Health.1.1	生命恢复道具的出现频率变为3倍。
evo.name.Health.1.1	丰饶
passive.name.Knowledge	知识
evo.passive.desc.Knowledge.0.1	蓝莓有一定几率变为宝箱蓝莓出现。
evo.name.Knowledge.0.1	寻宝直觉
evo.passive.desc.Knowledge.1.1	被追踪导弹击杀的敌人会留下额外经验。
evo.name.Knowledge.1.1	战斗洞察
passive.name.Assassinate	暗杀
evo.passive.desc.Assassinate.0.1	被暴击击杀的敌人会留下额外经验。
evo.name.Assassinate.0.1	赏金
evo.passive.desc.Assassinate.1.1	暴击率上限提高到100%。
evo.name.Assassinate.1.1	必中暗杀
passive.name.Refresh	刷新
passive.name.Defense	防御
evo.passive.desc.Defense.0.1	每次受到伤害时发动挥击。
evo.name.Defense.0.1	铁锤反击
evo.passive.desc.Defense.1.1	受到伤害时反弹伤害。
evo.name.Defense.1.1	荆棘铠甲
passive.name.Accel	加速
evo.passive.desc.Accel.0.1	使用技能时有小概率重置冷却。
evo.name.Accel.0.1	刷新
evo.passive.desc.Accel.1.1	每次受到伤害时，冷却时间会略微提前。
evo.name.Accel.1.1	痛苦加速
skill.cat.Attack	攻击
skill.cat.Buff	增益
skill.cat.Utility	辅助
