KEY	ZH
ui.ascension.stats	敌人生命值 +{0}\n移动速度 +{1}\n伤害 +{2}
ui.ascension.essence	精华获取 +{0}
ui.ascension.nextUnlock	通关后解锁下一难度
ui.pause.title	暂停
ui.pause.giveUp	返回标题画面
ui.pause.hint	ESC——继续游戏
ui.pause.activeHeader	主动
ui.pause.passiveHeader	被动
ui.result.other	其他
ui.result.earned	获得精华：{0}
ui.result.total	总伤害：{0}
ui.result.gameOver	游戏结束
ui.result.gameClear	游戏通关
ui.hud.stage	关卡 {0}/{1}
ui.hud.stageBanner	第{0}关
ui.hud.levelSuffix	{0}级
unlock.essence	精华 {0} / {1}
unlock.clearMap	以{1}难度通关{0}
ui.levelup.header	升级！
ui.title.play	开始游戏
ui.title.upgrade	强化
ui.title.collection	图鉴
ui.title.quit	退出
ui.tree.title	技能树
ui.charselect.title	角色
ui.mapselect.title	地图
ui.mapselect.locked	未解锁
ui.mapselect.changeChar	更换角色
ui.common.close	关闭
ui.common.back	返回
ui.common.select	选择
ui.result.toTitle	返回标题
ui.result.retry	再来一局
ui.result.upgrade	强化
ui.treasure.header	获得宝藏！
ui.treasure.continue	点击继续
ui.collection.title	图鉴
ui.collection.progress	已发现 {0} / {1}
ui.collection.active	主动
ui.collection.passive	被动
ui.collection.unknown	???
ui.collection.hint	尚未遇到的技能
ui.collection.route	路线{0}
ui.collection.prereq	{0} 联动
ui.collection.notFound	尚未见过这个进化
ui.levelup.evoHint	进化条件：Lv.{0} · 联动：{1}
ui.levelup.evoHintNone	无
ui.evotree.sealed	???
ui.evotree.sealedDesc	[未解锁——在技能树中开放]
step.VolleyCount	发射次数 +{0}
ui.evotree.prereq	[「{0}」联动]
ui.evotree.keyPrereq	[「{0}」进化联动]
ui.credits.title	制作人员
credits.dev	策划与开发
credits.art	美术
credits.thanks	特别鸣谢
credits.playerThanks	感谢你的游玩！
ending.intro	所有蓝莓的集合体就在这里……
ending.story1	你击败了所有蓝莓的集合体，
ending.story2	从蓝莓的袭击中拯救了世界！
ending.cleared	Game Cleared!
ui.evotree.title	技能进化
tutorial.skills	用 QWER 释放技能，横扫蜂拥而来的蓝莓吧！
tutorial.evolution	现在可以进化了！\n将技能升到 10 级并拥有联动技能，即可进化为更强的技能。
