KEY	EN
evo.name.GrapeToss.1.1	Crackling Grapes
evo.active.desc.GrapeToss.1.2	Poisoned enemies are stunned again and again, and take more damage.
evo.name.GrapeToss.1.2	Medusa's Snack
passive.name.Strength	Strength
evo.passive.desc.Strength.0.1	Critical damage increases.
evo.name.Strength.0.1	Burning Muscle
evo.passive.desc.Strength.1.1	Your Q skill grows stronger.
evo.name.Strength.1.1	Everyday Muscle
passive.name.Health	Vitality
evo.passive.desc.Health.0.1	Max health grows even faster.
evo.name.Health.0.1	Sturdiness
evo.passive.desc.Health.1.1	Health pickups appear three times as often.
evo.name.Health.1.1	Abundance
passive.name.Knowledge	Knowledge
evo.passive.desc.Knowledge.0.1	Blueberries sometimes appear as treasure chest blueberries.
evo.name.Knowledge.0.1	Treasure Sense
evo.passive.desc.Knowledge.1.1	Enemies killed by Homing Missile leave extra experience.
evo.name.Knowledge.1.1	Combat Insight
passive.name.Assassinate	Assassination
evo.passive.desc.Assassinate.0.1	Enemies killed by a critical hit leave extra experience.
evo.name.Assassinate.0.1	Bounty
evo.passive.desc.Assassinate.1.1	The critical chance cap rises to 100%.
evo.name.Assassinate.1.1	Certain Kill
passive.name.Refresh	Refresh
passive.name.Defense	Defense
evo.passive.desc.Defense.0.1	Taking damage sets off a Swing.
evo.name.Defense.0.1	Hammer Riposte
evo.passive.desc.Defense.1.1	Taking damage sends that damage back.
evo.name.Defense.1.1	Thorn Armor
passive.name.Accel	Haste
evo.passive.desc.Accel.0.1	Using a skill has a small chance to reset its cooldown.
evo.name.Accel.0.1	Refresh
evo.passive.desc.Accel.1.1	Each time you are hit, cooldowns move forward a little.
evo.name.Accel.1.1	Pain Acceleration
skill.cat.Attack	Attack
skill.cat.Buff	Buff
skill.cat.Utility	Utility
